problem_id,condition,ground_truth,correct
0,direct,388,True
0,cot,388,True
1,direct,2160,True
1,cot,2160,True
2,direct,141,True
2,cot,141,True
3,direct,760,True
3,cot,760,True
4,direct,-544,True
4,cot,-544,True
5,direct,-4136,False
5,cot,-4136,False
6,direct,225,False
6,cot,225,True
7,direct,529,True
7,cot,529,True
8,direct,625,False
8,cot,625,True
9,direct,-1376,True
9,cot,-1376,False
10,direct,888,True
10,cot,888,True
11,direct,3564,False
11,cot,3564,True
12,direct,713,False
12,cot,713,True
13,direct,373,True
13,cot,373,True
14,direct,583,True
14,cot,583,True
15,direct,487,False
15,cot,487,True
16,direct,169,False
16,cot,169,True
17,direct,-1701,True
17,cot,-1701,True
18,direct,50,False
18,cot,50,True
19,direct,4230,True
19,cot,4230,True
20,direct,190,True
20,cot,190,True
21,direct,1152,True
21,cot,1152,True
22,direct,3120,False
22,cot,3120,True
23,direct,-612,True
23,cot,-612,True
24,direct,-1496,False
24,cot,-1496,True
25,direct,-2050,False
25,cot,-2050,False
26,direct,1892,True
26,cot,1892,True
27,direct,3116,True
27,cot,3116,True
28,direct,2496,False
28,cot,2496,True
29,direct,-1161,True
29,cot,-1161,False
30,direct,469,False
30,cot,469,True
31,direct,100,False
31,cot,100,True
32,direct,6,True
32,cot,6,True
33,direct,99,False
33,cot,99,True
34,direct,263,False
34,cot,263,True
35,direct,721,True
35,cot,721,True
36,direct,268,False
36,cot,268,True
37,direct,573,True
37,cot,573,True
38,direct,250,False
38,cot,250,True
39,direct,-2886,False
39,cot,-2886,False
40,direct,769,False
40,cot,769,True
41,direct,218,False
41,cot,218,True
42,direct,360,True
42,cot,360,True
43,direct,730,True
43,cot,730,True
44,direct,475,True
44,cot,475,True
45,direct,337,True
45,cot,337,True
46,direct,2016,True
46,cot,2016,True
47,direct,44,True
47,cot,44,True
48,direct,1364,True
48,cot,1364,True
49,direct,40,False
49,cot,40,True
50,direct,1408,True
50,cot,1408,True
51,direct,572,True
51,cot,572,True
52,direct,407,True
52,cot,407,True
53,direct,-2257,True
53,cot,-2257,False
54,direct,179,False
54,cot,179,True
55,direct,254,False
55,cot,254,True
56,direct,438,True
56,cot,438,True
57,direct,1025,True
57,cot,1025,True
58,direct,-1323,True
58,cot,-1323,True
59,direct,313,False
59,cot,313,True
60,direct,999,True
60,cot,999,True
61,direct,758,False
61,cot,758,True
62,direct,748,False
62,cot,748,True
63,direct,178,False
63,cot,178,True
64,direct,1333,True
64,cot,1333,True
65,direct,321,True
65,cot,321,True
66,direct,633,True
66,cot,633,True
67,direct,302,False
67,cot,302,True
68,direct,-1771,True
68,cot,-1771,True
69,direct,1978,True
69,cot,1978,True
70,direct,432,True
70,cot,432,True
71,direct,2013,False
71,cot,2013,True
72,direct,-2350,True
72,cot,-2350,False
73,direct,-1032,True
73,cot,-1032,False
74,direct,485,False
74,cot,485,True
75,direct,0,False
75,cot,0,True
76,direct,-1920,False
76,cot,-1920,False
77,direct,389,False
77,cot,389,True
78,direct,0,True
78,cot,0,True
79,direct,317,False
79,cot,317,True
80,direct,548,False
80,cot,548,True
81,direct,137,True
81,cot,137,True
82,direct,219,False
82,cot,219,True
83,direct,973,False
83,cot,973,True
84,direct,400,False
84,cot,400,True
85,direct,-22,True
85,cot,-22,True
86,direct,1152,True
86,cot,1152,True
87,direct,499,False
87,cot,499,False
88,direct,-952,True
88,cot,-952,False
89,direct,663,True
89,cot,663,True
90,direct,-2700,True
90,cot,-2700,False
91,direct,300,True
91,cot,300,True
92,direct,-1392,False
92,cot,-1392,True
93,direct,1356,True
93,cot,1356,True
94,direct,401,False
94,cot,401,True
95,direct,440,True
95,cot,440,True
96,direct,344,True
96,cot,344,True
97,direct,1947,True
97,cot,1947,True
98,direct,112,False
98,cot,112,True
99,direct,1728,True
99,cot,1728,True
100,direct,1900,True
100,cot,1900,True
101,direct,498,True
101,cot,498,False
102,direct,1656,True
102,cot,1656,True
103,direct,-468,False
103,cot,-468,True
104,direct,1288,True
104,cot,1288,True
105,direct,2001,True
105,cot,2001,True
106,direct,378,False
106,cot,378,True
107,direct,1122,False
107,cot,1122,True
108,direct,450,False
108,cot,450,True
109,direct,136,True
109,cot,136,True
110,direct,-4186,False
110,cot,-4186,False
111,direct,-1908,False
111,cot,-1908,True
112,direct,-3300,True
112,cot,-3300,False
113,direct,-2838,False
113,cot,-2838,False
114,direct,-1820,True
114,cot,-1820,False
115,direct,2585,True
115,cot,2585,True
116,direct,-2318,True
116,cot,-2318,True
117,direct,493,False
117,cot,493,True
118,direct,60,True
118,cot,60,False
119,direct,227,False
119,cot,227,True
120,direct,1564,True
120,cot,1564,True
121,direct,561,False
121,cot,561,True
122,direct,669,True
122,cot,669,True
123,direct,78,True
123,cot,78,True
124,direct,735,True
124,cot,735,True
125,direct,305,False
125,cot,305,True
126,direct,-459,True
126,cot,-459,True
127,direct,853,True
127,cot,853,True
128,direct,497,False
128,cot,497,False
129,direct,624,True
129,cot,624,True
130,direct,-2208,False
130,cot,-2208,True
131,direct,252,True
131,cot,252,True
132,direct,50,False
132,cot,50,True
133,direct,486,True
133,cot,486,True
134,direct,105,False
134,cot,105,True
135,direct,419,False
135,cot,419,True
136,direct,2607,True
136,cot,2607,True
137,direct,-2940,True
137,cot,-2940,True
138,direct,320,True
138,cot,320,True
139,direct,750,True
139,cot,750,True
140,direct,779,True
140,cot,779,True
141,direct,-1647,True
141,cot,-1647,False
142,direct,44,False
142,cot,44,True
143,direct,-2160,True
143,cot,-2160,False
144,direct,-2380,False
144,cot,-2380,False
145,direct,-198,True
145,cot,-198,True
146,direct,71,False
146,cot,71,True
147,direct,1080,True
147,cot,1080,True
148,direct,390,True
148,cot,390,True
149,direct,-434,True
149,cot,-434,True
150,direct,1067,False
150,cot,1067,True
151,direct,380,False
151,cot,380,True
152,direct,361,True
152,cot,361,True
153,direct,78,False
153,cot,78,True
154,direct,230,False
154,cot,230,True
155,direct,-2322,True
155,cot,-2322,False
156,direct,-1504,True
156,cot,-1504,False
157,direct,183,False
157,cot,183,True
158,direct,295,True
158,cot,295,True
159,direct,-120,True
159,cot,-120,False
160,direct,1050,True
160,cot,1050,True
161,direct,592,True
161,cot,592,True
162,direct,398,False
162,cot,398,False
163,direct,-1056,True
163,cot,-1056,False
164,direct,1365,False
164,cot,1365,True
165,direct,164,True
165,cot,164,True
166,direct,4508,False
166,cot,4508,False
167,direct,1155,True
167,cot,1155,True
168,direct,-1422,True
168,cot,-1422,True
169,direct,3822,True
169,cot,3822,True
170,direct,-2400,False
170,cot,-2400,False
171,direct,588,True
171,cot,588,True
172,direct,399,False
172,cot,399,True
173,direct,221,False
173,cot,221,True
174,direct,553,False
174,cot,553,True
175,direct,631,False
175,cot,631,True
176,direct,682,False
176,cot,682,True
177,direct,70,False
177,cot,70,True
178,direct,845,True
178,cot,845,True
179,direct,-3476,False
179,cot,-3476,False
180,direct,-2255,True
180,cot,-2255,True
181,direct,2064,True
181,cot,2064,True
182,direct,172,True
182,cot,172,True
183,direct,-1152,True
183,cot,-1152,False
184,direct,130,True
184,cot,130,True
185,direct,-459,True
185,cot,-459,False
186,direct,476,False
186,cot,476,True
187,direct,-546,False
187,cot,-546,False
188,direct,-828,True
188,cot,-828,True
189,direct,-396,True
189,cot,-396,False
190,direct,95,True
190,cot,95,True
191,direct,278,False
191,cot,278,True
192,direct,-1638,True
192,cot,-1638,False
193,direct,249,False
193,cot,249,True
194,direct,378,False
194,cot,378,True
195,direct,-738,True
195,cot,-738,True
196,direct,125,False
196,cot,125,True
197,direct,-1984,True
197,cot,-1984,True
198,direct,250,True
198,cot,250,True
199,direct,17,False
199,cot,17,True
200,direct,-2821,True
200,cot,-2821,False
201,direct,533,True
201,cot,533,True
202,direct,240,False
202,cot,240,True
203,direct,169,False
203,cot,169,True
204,direct,-2438,False
204,cot,-2438,False
205,direct,11,False
205,cot,11,True
206,direct,3045,True
206,cot,3045,True
207,direct,406,False
207,cot,406,True
208,direct,-816,True
208,cot,-816,True
209,direct,112,False
209,cot,112,True
210,direct,442,False
210,cot,442,True
211,direct,443,True
211,cot,443,True
212,direct,790,False
212,cot,790,True
213,direct,-990,False
213,cot,-990,True
214,direct,-1984,False
214,cot,-1984,False
215,direct,323,False
215,cot,323,True
216,direct,-1053,True
216,cot,-1053,False
217,direct,125,False
217,cot,125,True
218,direct,388,False
218,cot,388,True
219,direct,-250,True
219,cot,-250,True
220,direct,-1886,True
220,cot,-1886,True
221,direct,1278,True
221,cot,1278,True
222,direct,596,False
222,cot,596,True
223,direct,797,False
223,cot,797,True
224,direct,298,True
224,cot,298,True
225,direct,77,False
225,cot,77,True
226,direct,744,True
226,cot,744,True
227,direct,325,True
227,cot,325,True
228,direct,-377,True
228,cot,-377,False
229,direct,222,False
229,cot,222,True
230,direct,-800,True
230,cot,-800,False
231,direct,524,False
231,cot,524,True
232,direct,-1407,True
232,cot,-1407,True
233,direct,132,False
233,cot,132,True
234,direct,445,False
234,cot,445,True
235,direct,-1794,True
235,cot,-1794,True
236,direct,-608,False
236,cot,-608,False
237,direct,-546,True
237,cot,-546,True
238,direct,159,False
238,cot,159,True
239,direct,-840,False
239,cot,-840,False
240,direct,618,False
240,cot,618,True
241,direct,387,False
241,cot,387,True
242,direct,3348,False
242,cot,3348,False
243,direct,803,False
243,cot,803,True
244,direct,2604,False
244,cot,2604,False
245,direct,222,False
245,cot,222,True
246,direct,798,False
246,cot,798,True
247,direct,409,True
247,cot,409,True
248,direct,-245,True
248,cot,-245,True
249,direct,3920,True
249,cot,3920,True
250,direct,613,True
250,cot,613,True
251,direct,1534,True
251,cot,1534,True
252,direct,225,True
252,cot,225,True
253,direct,706,True
253,cot,706,True
254,direct,720,True
254,cot,720,True
255,direct,-1295,True
255,cot,-1295,True
256,direct,-816,True
256,cot,-816,True
257,direct,486,True
257,cot,486,True
258,direct,118,False
258,cot,118,True
259,direct,-602,True
259,cot,-602,False
260,direct,740,False
260,cot,740,True
261,direct,2200,True
261,cot,2200,True
262,direct,416,True
262,cot,416,True
263,direct,548,False
263,cot,548,True
264,direct,247,False
264,cot,247,True
265,direct,-182,True
265,cot,-182,True
266,direct,2940,True
266,cot,2940,True
267,direct,227,False
267,cot,227,True
268,direct,89,False
268,cot,89,True
269,direct,845,False
269,cot,845,True
270,direct,191,False
270,cot,191,True
271,direct,616,True
271,cot,616,True
272,direct,302,True
272,cot,302,True
273,direct,-86,True
273,cot,-86,True
274,direct,1530,True
274,cot,1530,True
275,direct,441,True
275,cot,441,True
276,direct,530,True
276,cot,530,True
277,direct,568,False
277,cot,568,True
278,direct,166,False
278,cot,166,True
279,direct,1100,True
279,cot,1100,True
280,direct,280,True
280,cot,280,True
281,direct,195,False
281,cot,195,True
282,direct,1827,True
282,cot,1827,True
283,direct,-2652,True
283,cot,-2652,True
284,direct,860,True
284,cot,860,True
285,direct,496,False
285,cot,496,True
286,direct,3069,True
286,cot,3069,True
287,direct,62,False
287,cot,62,True
288,direct,-748,True
288,cot,-748,True
289,direct,82,False
289,cot,82,True
290,direct,3696,True
290,cot,3696,True
291,direct,202,False
291,cot,202,True
292,direct,-848,True
292,cot,-848,True
293,direct,333,True
293,cot,333,True
294,direct,682,True
294,cot,682,True
295,direct,1476,True
295,cot,1476,True
296,direct,-44,True
296,cot,-44,True
297,direct,161,False
297,cot,161,True
298,direct,-3150,True
298,cot,-3150,False
299,direct,219,False
299,cot,219,True
