layer,metric,d_direct,d_cot,p_direct,p_cot
0,full_effective_dimension,1.3412519531967468,-0.3581216974260231,1.9396078865358807e-35,0.0432602087123619
0,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
0,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
0,clean_effective_dimension,1.3085254366306518,-0.3514569326099052,3.197242573617696e-32,0.0461659015866494
1,full_turn_angle,0.3231094697017743,-0.6904020424328112,0.0008388476086547,0.0051650591508265
1,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
1,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
1,clean_turn_angle,0.2682735040906174,-0.6486336218152383,0.0055525334445127,0.0088813767378949
2,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
2,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
3,full_turn_angle,0.2042479517880675,-0.6648138699413467,0.048112139005943,0.0048290880808941
3,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
3,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
4,full_turn_angle,0.5431835735109692,-0.7483941489689565,1.6597846009453013e-07,0.0019696000677145
4,full_radius_of_gyration,1.6476518711315775,-0.5945461819188012,2.310738355447491e-42,0.0012890375115187
4,full_commitment_sharpness,0.6461651321267023,-0.2844612087083075,2.599347744197986e-07,0.0261798316640225
4,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
4,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
4,clean_turn_angle,0.4794805467735337,-0.702089962247411,3.3566250669065902e-06,0.0034303190873329
4,clean_radius_of_gyration,1.4010622748619803,-0.5481468284510284,1.927026506098883e-34,0.0025432210854463
4,clean_commitment_sharpness,0.630982279629725,-0.2741665496658838,4.832106891568196e-07,0.0322346628463113
5,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
5,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
6,full_turn_angle,0.6852733567697675,-0.5120712287576954,5.052774111268174e-10,0.0263972388433782
6,full_commitment_sharpness,0.3096097482109279,-0.5344193312248121,0.0099506542722176,0.0011297164641441
6,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
6,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
6,clean_turn_angle,0.6293669871170541,-0.4631212116701124,7.73175882812876e-09,0.0436059939611296
6,clean_commitment_sharpness,0.2983167156765527,-0.5344193312248121,0.013174944280841,0.0011297164641441
7,full_commitment_sharpness,1.0160441401119285,-0.5206139831782484,1.1362692358424887e-14,0.0011116838907923
7,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
7,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
7,clean_commitment_sharpness,1.0190696522095772,-0.5235110776399157,9.628764040894796e-15,0.0013670372015197
8,full_commitment_sharpness,1.06959899181952,-0.4166426930030648,2.5325381088522113e-16,0.020699811193337
8,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
8,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
8,clean_commitment_sharpness,1.0569163143361913,-0.4256171327243821,4.903777516343932e-16,0.0197963162142216
9,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
9,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
10,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
10,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
11,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
11,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
12,full_commitment_sharpness,1.4236089383400028,-0.4506505771118202,2.8636298171549595e-22,0.0181267501186042
12,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
12,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
12,clean_commitment_sharpness,1.4241670011683645,-0.4506505771118202,2.261515144216516e-22,0.0181267501186042
13,full_cos_slope_to_final,0.4044140476827165,-0.6155556405371603,0.0004618718628035,0.0012453130356022
13,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
13,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
14,full_cos_slope_to_final,0.3364863379334862,-0.6702501238607129,0.0036725275302621,0.0004050541112821
14,full_commitment_sharpness,1.6702581513907209,-0.5622818927135804,7.652774310081224e-29,0.0036561468155614
14,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
14,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
14,clean_cos_slope_to_final,0.4942147537084188,-0.5905840245842661,5.251929063978385e-05,0.0327615198671389
14,clean_commitment_sharpness,1.6603400408025633,-0.5622818927135804,8.906609174966581e-29,0.0036561468155614
15,full_cos_slope_to_final,0.638342132958104,-0.667394130576725,2.4401134081798095e-07,0.0006103384411303
15,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
15,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
15,clean_cos_slope_to_final,0.7925573403458818,-0.7326061786718587,1.2915660696391991e-09,0.0097192305258733
16,full_cos_slope_to_final,1.043450788031829,-0.6561060479068509,3.677874333402477e-15,0.0004666971668802
16,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
16,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
16,clean_cos_slope_to_final,1.1952612011478052,-0.7645014014734473,1.407653485438389e-17,0.0056425354938277
17,full_cos_slope_to_final,1.2332002888324547,-0.634339341179092,2.2278307463267024e-19,0.0003491335587146
17,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
17,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
17,clean_cos_slope_to_final,1.399225966507858,-0.8377018117381528,6.565845502261708e-22,0.0011064698052469
18,full_cos_slope_to_final,1.6395431074848172,-0.7809257258746076,6.154106632868728e-27,5.310571297537298e-05
18,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
18,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
18,clean_cos_slope_to_final,1.7590837792355534,-0.8527999367438392,1.5704491051601474e-28,0.0006664436915726
19,full_cos_slope_to_final,1.7567531132376084,-0.6526685260333964,3.8957963770266e-30,0.0003311397589495
19,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
19,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
19,clean_cos_slope_to_final,1.8134830971766291,-0.8812803134130308,4.183116522696515e-31,0.0002534177874983
20,full_cos_slope_to_final,1.5454320734645108,-0.6370826756711554,1.2138614043787987e-26,0.0006626553684875
20,full_phase_count,0.2303267198524391,-0.8417526807632519,0.0095600761233881,0.0001255601711653
20,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
20,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
20,clean_cos_slope_to_final,1.6271299935469663,-0.6750142614140973,4.953504242796308e-28,0.0064803299752881
21,full_cos_slope_to_final,1.7967511037814727,-0.5965005083847558,3.7218595775966366e-30,0.0005606098958234
21,full_time_to_commit,0.5507410717835539,-0.5934429217033933,1.2491901750897469e-08,0.0023550073083432
21,full_phase_count,0.2308499381644629,-0.8550846678316266,0.009399867807779,0.0001401801240011
21,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
21,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
21,clean_cos_slope_to_final,1.8692243707493372,-0.7709166547632738,3.054524620214301e-31,0.0010079359468785
21,clean_time_to_commit,0.5518980060361837,-0.5934429217033933,4.518588366990263e-08,0.0023550073083432
22,full_cos_slope_to_final,1.829465469081871,-0.7792151047721587,1.3015161809793906e-31,1.4714042250440483e-05
22,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
22,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
22,clean_cos_slope_to_final,1.8798102608766676,-0.9905816489398848,1.7049476771026458e-32,6.034119008889731e-05
23,full_cos_slope_to_final,2.235480026975301,-0.6248192444070034,5.628598062748374e-38,0.00054760206955
23,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
23,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
23,clean_cos_slope_to_final,2.269220460671544,-0.760432690445004,1.2885341674417575e-38,0.0006635913460893
24,full_speed,-1.2901315532551407,1.0232542133022766,4.3180961276917476e-32,3.508551082907963e-05
24,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
24,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
24,clean_speed,-1.2998436580601116,1.061087370845247,1.5817260285812602e-32,1.809131817102684e-05
24,clean_cos_slope_to_final,2.242028871668557,-0.5378979727829772,6.668234307306508e-37,0.0136192427890759
25,full_speed,-1.4898374394896474,1.0665897008097176,2.9027108818074276e-39,1.752345226077773e-05
25,full_radius_of_gyration,-0.2527682332837629,1.2077602531146023,0.014124049604627,7.608542487682695e-07
25,full_phase_count,0.2346808522491352,-0.4569717848696699,0.0082983850768159,0.0181696434621534
25,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
25,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
25,clean_speed,-1.498649471632488,1.09341667651854,1.1686038592147684e-39,1.12356639541381e-05
25,clean_radius_of_gyration,-0.3555889174983508,1.2032334349426983,0.0006545732495706,8.698360958028065e-07
26,full_speed,-1.4267590345104602,1.1222308732494224,2.297195503090696e-35,8.933491360383554e-06
26,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
26,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
26,clean_speed,-1.4252722077558533,1.1409683883723625,2.1654125856571224e-35,6.876096620635794e-06
26,clean_radius_of_gyration,-0.2758682153323456,1.246168525505394,0.0091050071461546,6.396659008364769e-07
27,full_speed,-1.2363226478005862,1.237316251060002,2.2599911105627718e-27,5.475269992428827e-07
27,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
27,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
27,clean_speed,-1.2510505601761843,1.2574763168988032,7.3416670462226525e-28,4.1748707610553945e-07
27,clean_radius_of_gyration,-0.2130225810317547,1.3027576322903942,0.0454505213507406,3.020102503991894e-07
28,full_radius_of_gyration,-0.9413922338219686,0.4820893263443526,8.570837862085567e-18,0.0277212886238692
28,clean_interlayer_alignment,0.7920341677180904,-1.6154970574079686,2.998558746597972e-14,6.987328873746074e-08
28,full_interlayer_alignment,0.8464829362495632,-1.6264923043181672,6.9264368618147025e-16,5.8950968126089866e-08
28,clean_radius_of_gyration,-1.0356067119387111,0.740371824032965,2.552032829497468e-20,0.0014235973288495
